270-01-01 s_2s_7s_0s_pt
275-32-01 in
275-32-02 your
275-32-03 handss_cm
275-32-04 whatever
275-32-05 Draughts
275-32-06 Captain
275-32-07 Hogg
275-33-01 may
275-33-02 draw
275-33-03 on
275-33-04 you
275-33-05 for
275-33-06 the
275-33-07 subsistance
275-33-08 of
275-33-09 his
275-33-10 Companys_cm
275-34-01 from
275-34-02 time
275-34-03 to
275-34-04 times_pt
275-34-05 You
275-34-06 are
275-34-07 to
275-34-08 see
275-34-09 that
275-34-10 Coopers
275-34-11 are
275-35-01 engaged
275-35-02 to
275-35-03 make
275-35-04 Berrels
275-35-05 for
275-35-06 the
275-35-07 Provisionss_cm
275-35-08 and
275-35-09 to
276-02-01 s_2s_7s_6s_pt
276-02-02 Letters
276-02-03 Orders
276-02-04 and
276-02-05 Instructionss_pt
276-02-06 October
276-02-07 s_1s_7s_5s_5s_pt
276-04-01 provide
276-04-02 all
276-04-03 other
276-04-04 neces_ssaries
276-04-05 for
276-04-06 the
276-04-07 Expeditions_cm
276-05-01 which
276-05-02 you
276-05-03 know
276-05-04 will
276-05-05 be
276-05-06 wanted
276-06-01 As
276-06-02 there
276-06-03 are
276-06-04 several
276-06-05 Contracts
276-06-06 made
276-06-07 by
276-06-08 me
276-06-09 to
276-07-01 have
276-07-02 Cattle
276-07-03 delivered
276-07-04 here
276-07-05 s_etcs_pt
276-07-06 by
276-07-07 the
276-07-08 s_1sts_pt
276-07-09 of
276-07-10 next
276-08-01 months_cm
276-08-02 s_mi
276-08-03 I
276-08-04 desire
276-08-05 that
276-08-06 for
276-08-07 such
276-08-08 as
276-08-09 you
276-08-10 receive
276-08-11 ups_mi
276-09-01 on
276-09-02 that
276-09-03 accounts_cm
276-09-04 if
276-09-05 you
276-09-06 have
276-09-07 money
276-09-08 in
276-09-09 your
276-10-01 handss_cm
276-10-02 you
276-10-03 make
276-10-04 immediate
276-10-05 payments_pt
276-11-01 Given
276-11-02 s_etcs_pt
276-12-01 Winchester
276-12-02 October
276-12-03 s_GW
276-13-01 s_2s_9ths_pt
276-13-02 s_1s_7s_5s_5
276-15-01 s_2s_9ths_pt
276-15-02 Winchester
276-15-03 October
276-15-04 s_2s_9ths_pt
276-15-05 s_1s_7s_5s_5s_pt
276-16-01 Parole
276-16-02 Williamsburghs_pt
276-17-01 One
276-17-02 Subalterns_cm
276-17-03 one
276-17-04 Sergeants_cm
276-17-05 one
276-18-01 Corporals_cm
276-18-02 one
276-18-03 Drummer
276-18-04 and
276-18-05 twenty
276-18-06 five
276-18-07 private
276-19-01 mens_cm
276-19-02 the
276-19-03 Guard
276-19-04 to
276-19-05 s_mi
276-19-06 day
276-19-07 s_mi
276-19-08 Captain
276-19-09 Peachy
276-19-10 is
276-20-01 ordered
276-20-02 to
276-20-03 take
276-20-04 upon
276-20-05 him
276-20-06 the
276-20-07 command
276-21-01 of
276-21-02 the
276-21-03 Recruits
276-21-04 which
276-21-05 arrived
276-21-06 here
276-21-07 under
276-22-01 Lieutenant
276-22-02 Hall
276-22-03 and
276-22-04 Ensign
276-22-05 Prices_sq
276-22-06 who
276-22-07 are
276-23-01 also
276-23-02 ordered
276-23-03 to
276-23-04 act
276-23-05 under
276-23-06 hims_cm
276-23-07 until
276-23-08 further
276-24-01 orderss_mi
276-24-02 Ensign
276-24-03 Hedgemans_cm
276-24-04 and
276-24-05 the
276-24-06 Recruits
276-25-01 which
276-25-02 arrived
276-25-03 with
276-25-04 hims_cm
276-25-05 are
276-25-06 ordered
276-25-07 to
276-25-08 join
276-26-01 Lieutenant
276-26-02 Kings_cm
276-26-03 and
276-26-04 be
276-26-05 under
276-26-06 his
276-26-07 command
276-27-01 until
276-27-02 further
276-27-03 orderss_mi
276-27-04 Lieutenant
276-27-05 Eustaces_cm
276-27-06 and
276-28-01 the
276-28-02 eight
276-28-03 men
276-28-04 with
276-28-05 hims_cm
276-28-06 are
276-28-07 to
276-28-08 join
276-28-09 s_blas
276-28-10 soon
276-28-11 as
276-29-01 they
276-29-02 arrive
276-29-03 at
276-29-04 Fort
276-29-05 Cumberlands_br
276-29-06 the
276-29-07 Company
276-30-01 which
276-30-02 Captain
276-30-03 Waggener
276-30-04 commands
276-30-05 at
276-30-06 presents_sq
276-30-07 s_mi
276-31-01 and
276-31-02 the
276-31-03 Party
276-31-04 left
276-31-05 with
276-31-06 Sergeant
276-31-07 Shaws_cm
276-31-08 is
276-31-09 to
276-31-10 res_mi
276-32-01 turn
276-32-02 to
276-32-03 their
276-32-04 respective
276-32-05 Companiess_cm
276-32-06 so
276-32-07 soon
276-32-08 as
276-33-01 they
276-33-02 reach
276-33-03 the
276-33-04 Fort
276-33-05 s_mi
276-33-06 The
276-33-07 Commis_ssary
276-33-08 is
276-33-09 to
276-33-10 see
276-34-01 that
276-34-02 the
276-34-03 Magazine
276-34-04 is
276-34-05 secureds_cm
276-34-06 by
276-34-07 fastening
276-35-01 up
276-35-02 the
276-35-03 windows
276-35-04 s_etcs_pt
276-35-05 better
276-35-06 than
276-35-07 they
276-35-08 now
276-35-09 ares_pt
276-36-01 The
276-36-02 Officers
276-36-03 are
276-36-04 to
276-36-05 see
276-36-06 that
276-36-07 the
276-36-08 men
276-36-09 are
276-36-10 clos_mi
277-02-01 Letterss_cm
277-02-02 Orders
277-02-03 and
277-02-04 Instructionss_pt
277-02-05 October
277-02-06 s_1s_7s_5s_5s_pt
277-02-07 s_mi
277-02-08 s_2s_7s_7s_pt
277-04-01 thed
277-04-02 to
277-04-03 s_mi
277-04-04 morrows_cm
277-04-05 and
277-04-06 to
277-04-07 be
277-04-08 very
277-04-09 particular
277-04-10 in
277-04-11 their
277-04-12 Accounts
277-05-01 of
277-05-02 what
277-05-03 they
277-05-04 receives_pt
277-05-05 They
277-05-06 will
277-05-07 also
277-05-08 receive
277-05-09 Arms
277-05-10 so
277-06-01 soon
277-06-02 as
277-06-03 they
277-06-04 arrive
277-06-05 from
277-06-06 Fort
277-06-07 Cumberlands_cm
277-06-08 to
277-06-09 complete
277-06-10 their
277-07-01 Recruitss_pt
277-07-02 They
277-07-03 are
277-07-04 to
277-07-05 see
277-07-06 that
277-07-07 each
277-07-08 man
277-07-09 distinguishes
277-08-01 his
277-08-02 Firelock
277-08-03 by
277-08-04 some
277-08-05 particular
277-08-06 marks_cm
277-08-07 which
277-08-08 the
277-08-09 Subs_mi
277-09-01 alterns
277-09-02 of
277-09-03 the
277-09-04 Company
277-09-05 are
277-09-06 to
277-09-07 enter
277-09-08 in
277-09-09 a
277-09-10 Books_cm
277-09-11 they
277-09-12 are
277-10-01 to
277-10-02 keep
277-10-03 for
277-10-04 that
277-10-05 purposes_pt
277-10-06 Every
277-10-07 Officer
277-10-08 is
277-10-09 to
277-10-10 provide
277-10-11 an
277-11-01 Orderly
277-11-02 Book
277-11-03 to
277-11-04 enter
277-11-05 the
277-11-06 Orders
277-11-07 in
277-11-08 as
277-11-09 they
277-11-10 is_ssue
277-11-11 every
277-12-01 day
277-12-02 regularlys_cm
277-12-03 that
277-12-04 they
277-12-05 may
277-12-06 examine
277-12-07 them
277-12-08 oftens_cm
277-13-01 and
277-13-02 see
277-13-03 they
277-13-04 are
277-13-05 duly
277-13-06 complied
277-13-07 withs_pt
277-13-08 Captain
277-14-01 Bronaughs_cm
277-14-02 Lieutenant
277-14-03 Stewarts_cm
277-14-04 Blegg
277-14-05 and
277-14-06 Williamss_cm
277-15-01 sent
277-15-02 Recruitings_cm
277-15-03 and
277-15-04 to
277-15-05 Rendezvous
277-15-06 at
277-15-07 Alexandris_mi
277-16-01 as_cm
277-16-02 the
277-16-03 s_1st
277-16-04 of
277-16-05 Decembers_pt
277-17-01 s_GW
277-19-01 s_3s_1sts_pt
277-19-02 To
277-19-03 Captain
277-19-04 Robert
277-19-05 Spotswoods_cm
277-19-06 of
277-19-07 the
277-20-01 Virginia
277-20-02 Regiments_pt
277-21-01 You
277-21-02 are
277-21-03 hereby
277-21-04 ordereds_cm
277-21-05 as
277-21-06 soon
277-21-07 as
277-22-01 the
277-22-02 Clothes
277-22-03 and
277-22-04 Arms
277-22-05 arrives_cm
277-22-06 to
277-22-07 furnish
277-22-08 all
277-22-09 the
277-23-01 men
277-23-02 who
277-23-03 now
277-23-04 Rendezvous
277-23-05 at
277-23-06 Fredericksburghs_cm
277-24-01 with
277-24-02 boths_sq
277-24-03 and
277-24-04 march
277-24-05 them
277-24-06 immediately
277-25-01 with
277-25-02 the
277-25-03 utmost
277-25-04 dispatch
277-25-05 to
277-25-06 Fort
277-25-07 Cumberlands_cm
277-26-01 to
277-26-02 reinforce
277-26-03 the
277-26-04 Garrisons_pt
277-26-05 s_mi
277-26-06 When
277-26-07 you
277-26-08 arrive
277-26-09 at
277-27-01 Winchesters_cm
277-27-02 you
277-27-03 must
277-27-04 provide
277-27-05 your
277-27-06 men
277-27-07 with
277-27-08 Cars_mi
277-28-01 tridgess_pt
277-28-02 s_mi
277-28-03 You
277-28-04 are
277-28-05 to
277-28-06 be
277-28-07 very
277-28-08 careful
277-28-09 and
277-28-10 circums_mi
277-29-01 spect
277-29-02 in
277-29-03 your
277-29-04 marchs_sq
277-29-05 and
277-29-06 see
277-29-07 that
277-29-08 your
277-29-09 men
277-30-01 do
277-30-02 not
277-30-03 on
277-30-04 any
277-30-05 account
277-30-06 whatsoevers_cm
277-30-07 plunder
277-30-08 or
277-31-01 pillage
277-31-02 the
277-31-03 Houses
277-31-04 which
277-31-05 the
277-31-06 people
277-31-07 have
277-31-08 deserteds_cm
277-32-01 or
277-32-02 any
277-32-03 otherss_cm
277-32-04 s_mi
277-32-05 or
277-32-06 Plantationss_pt
277-32-07 s_mi
277-32-08 Lieutenant
277-32-09 Fras_mi
277-33-01 zier
277-33-02 and
277-33-03 Ensign
277-33-04 Carters_cm
277-33-05 are
277-33-06 appointed
277-33-07 to
277-33-08 this
277-33-09 Coms_mi
277-34-01 mand
277-35-01 Given
277-35-02 s_etcs_pt
277-36-01 s_GW
278-01-01 s_2s_7s_8s_pt
278-01-02 Letterss_cm
278-01-03 Orders
278-01-04 and
278-01-05 Instructionss_pt
278-01-06 October
278-01-07 s_1s_7s_5s_5s_pt
278-03-01 s_1sts_pt
278-03-02 To
278-03-03 Captain
278-03-04 John
278-03-05 Mercer
278-03-06 of
278-03-07 the
278-04-01 Virginia
278-04-02 Regiments_pt
278-05-01 You
278-05-02 are
278-05-03 hereby
278-05-04 ordered
278-05-05 to
278-05-06 Rens_mi
278-06-01 dezvous
278-06-02 at
278-06-03 Alexandria
278-06-04 the
278-06-05 first
278-06-06 Day
278-06-07 of
278-07-01 Decembers_cm
278-07-02 with
278-07-03 all
278-07-04 the
278-07-05 men
278-07-06 you
278-07-07 can
278-08-01 raise
278-08-02 by
278-08-03 that
278-08-04 times_pt
278-09-01 Given
278-09-02 s_etcs_pt
278-09-03 at
278-09-04 Fredericksburgs_cm
278-10-01 November
278-10-02 s_1sts_pt
278-10-03 s_1s_7s_5s_5s_pt
278-11-01 s_GW
278-11-02 Aid
278-11-03 de
278-11-04 camps_pt
278-13-01 Ns_ptBs_pt
278-13-02 Captain
278-13-03 Joshua
278-13-04 Lewis
278-13-05 is
278-13-06 allowed
278-13-07 to
278-14-01 the
278-14-02 s_1sts_pt
278-14-03 of
278-14-04 Decembers_cm
278-14-05 to
278-14-06 Rendezvous
278-14-07 at
278-14-08 Alexs_mi
278-15-01 andrias_pt
278-17-01 s_1sts_pt
278-17-02 To
278-17-03 Mrs_pt
278-17-04 Boyds_cm
278-17-05 Paymasters_pt
278-18-01 As
278-18-02 Colonel
278-18-03 Stephen
278-18-04 has
278-18-05 brought
278-19-01 s_lbs_1s_0s_0s_0
278-19-02 which
278-19-03 I
278-19-04 wrote
278-19-05 for
278-19-06 to
278-19-07 pay
278-19-08 off
278-19-09 the
278-19-10 Troopss_cm
278-20-01 it
278-20-02 will
278-20-03 save
278-20-04 you
278-20-05 a
278-20-06 journey
278-20-07 to
278-20-08 Williamss_mi
278-21-01 burg
278-21-02 at
278-21-03 this
278-21-04 times_qo
278-21-05 but
278-21-06 I
278-21-07 think
278-21-08 it
278-21-09 absolutely
278-22-01 neces_ssary
278-22-02 that
278-22-03 you
278-22-04 shoulds_cm
278-22-05 after
278-22-06 paying
278-22-07 the
278-23-01 Troops
278-23-02 in
278-23-03 Garrisons_cm
278-23-04 go
278-23-05 into
278-23-06 Augustas_cm
278-23-07 to
278-23-08 pay
278-24-01 off
278-24-02 Captain
278-24-03 Hoggs
278-24-04 Companys_cm
278-24-05 which
278-24-06 is
278-24-07 now
278-25-01 completes_sq
278-25-02 unles_ss
278-25-03 you
278-25-04 can
278-25-05 send
278-25-06 the
278-25-07 money
278-26-01 by
278-26-02 Mrs_pt
278-26-03 Mcs_pt
278-26-04 Clenachans_cm
278-26-05 or
278-26-06 some
278-26-07 safe
278-26-08 hand
278-27-01 from
278-27-02 hences_pt
278-27-03 The
278-27-04 Recruits
278-27-05 at
278-27-06 Fort
278-28-01 Cumberland
278-28-02 are
278-28-03 all
278-28-04 paid
278-28-05 off
278-28-06 to
278-28-07 the
278-28-08 s_1sts_pt
278-28-09 of
278-28-10 Ocs_mi
278-29-01 tober
278-29-02 as
278-29-03 private
278-29-04 mens_cm
278-29-05 there
278-29-06 being
278-29-07 no
278-29-08 distincs_mi
278-30-01 tion
278-30-02 made
278-30-03 between
278-30-04 them
278-30-05 and
278-30-06 Sergeantss_cm
278-31-01 none
278-31-02 having
278-31-03 yet
278-31-04 been
278-31-05 regularly
278-31-06 appointeds_pt
278-32-01 Colonel
278-32-02 Stephen
278-32-03 will
278-32-04 give
278-32-05 you
278-32-06 an
278-32-07 acs_mi
278-33-01 count
278-33-02 of
278-33-03 those
278-33-04 he
278-33-05 has
278-33-06 paids_cm
278-33-07 and
278-33-08 how
278-33-09 s_mi
278-34-01 If
278-34-02 any
278-34-03 have
278-34-04 received
278-34-05 Sergeants
278-34-06 pays_cm
278-34-07 it
278-35-01 must
278-35-02 be
278-35-03 deducted
278-35-04 next
278-35-05 payments_qo
278-35-06 as
278-35-07 also
279-01-01 Letterss_cm
279-01-02 Orders
279-01-03 and
279-01-04 Instructionss_pt
279-01-05 November
279-01-06 s_1s_7s_5s_5s_pts_2s_7s_9s_pt
279-03-01 two
279-03-02 s_mi
279-03-03 pence
279-03-04 per
279-03-05 months_cm
279-03-06 from
279-03-07 each
279-03-08 non
279-03-09 s_mi
279-03-10 commis_ssioned
279-04-01 Officer
279-04-02 and
279-04-03 Soldier
279-04-04 for
279-04-05 purchasing
279-04-06 mediciness_sq
279-04-07 s_mi
279-05-01 this
279-05-02 is
279-05-03 to
279-05-04 be
279-05-05 paid
279-05-06 to
279-05-07 the
279-05-08 Surgeon
279-05-09 Quarterlys_pt
279-05-10 There
279-05-11 is
279-06-01 also
279-06-02 six
279-06-03 s_mi
279-06-04 pence
279-06-05 per
279-06-06 month
279-06-07 to
279-06-08 be
279-06-09 stopped
279-06-10 from
279-06-11 the
279-06-12 Drums_mi
279-07-01 merss_cm
279-07-02 to
279-07-03 be
279-07-04 paid
279-07-05 to
279-07-06 the
279-07-07 Drum
279-07-08 s_mi
279-07-09 Major
279-07-10 for
279-07-11 teaching
279-07-12 thems_cm
279-08-01 and
279-08-02 repairing
279-08-03 the
279-08-04 Drumss_pt
279-08-05 s_mi
279-08-06 These
279-08-07 deductions
279-08-08 you
279-08-09 are
279-09-01 hereby
279-09-02 ordered
279-09-03 to
279-09-04 make
279-09-05 each
279-09-06 pay
279-09-07 s_mi
279-09-08 days_sq
279-09-09 unles_ss
279-09-10 couns_mi
279-10-01 termanded
279-10-02 by
279-10-03 the
279-10-04 Governor
279-10-05 or
279-10-06 myselfs_pt
279-10-07 If
279-10-08 any
279-10-09 nons_mi
279-11-01 commis_ssioned
279-11-02 Officer
279-11-03 or
279-11-04 Soldier
279-11-05 should
279-11-06 happen
279-11-07 to
279-12-01 dies_cm
279-12-02 he
279-12-03 is
279-12-04 to
279-12-05 be
279-12-06 continued
279-12-07 on
279-12-08 the
279-12-09 pay
279-12-10 roll
279-12-11 as
279-12-12 an
279-12-13 efs_mi
279-13-01 fective
279-13-02 man
279-13-03 for
279-13-04 twenty
279-13-05 eight
279-13-06 dayss_cm
279-13-07 to
279-13-08 pay
279-13-09 for
279-13-10 his
279-14-01 Coffins_cm
279-14-02 s_etcs_pt
279-14-03 I
279-14-04 am
279-14-05 s_etcs_pt
279-16-01 s_1sts_pt
279-16-02 To
279-16-03 Commis_ssary
279-16-04 Joness_cm
279-16-05 s_mi
279-16-06 Or
279-16-07 to
279-16-08 George
279-16-09 Conways_pt
279-17-01 You
279-17-02 are
279-17-03 hereby
279-17-04 Ordered
279-17-05 to
279-17-06 deliver
279-18-01 to
279-18-02 Sergeant
279-18-03 Wilper
279-18-04 s_bltaking
279-18-05 his
279-18-06 receipt
279-18-07 for
279-18-08 the
279-18-09 sames_br
279-19-01 for
279-19-02 the
279-19-03 use
279-19-04 of
279-19-05 Captain
279-19-06 Hoggs
279-19-07 Companys_cm
279-19-08 eight
279-20-01 Regimental
279-20-02 Coatss_cm
279-20-03 ten
279-20-04 Waistcoatss_cm
279-20-05 ten
279-20-06 pair
279-20-07 of
279-21-01 Breechess_cm
279-21-02 nine
279-21-03 Hatss_cm
279-21-04 eleven
279-21-05 Shirtss_cm
279-21-06 as
279-21-07 many
279-22-01 pair
279-22-02 of
279-22-03 Stockingss_cm
279-22-04 and
279-22-05 the
279-22-06 same
279-22-07 quantity
279-22-08 of
279-23-01 Shoess_pt
279-23-02 s_mi
279-23-03 You
279-23-04 are
279-23-05 also
279-23-06 to
279-23-07 deliver
279-23-08 to
279-23-09 the
279-23-10 said
279-24-01 Wilpers_cm
279-24-02 for
279-24-03 the
279-24-04 use
279-24-05 of
279-24-06 the
279-24-07 said
279-24-08 Companys_cm
279-24-09 s_mi
279-24-10 twelve
279-25-01 Musquetss_sq
279-25-02 twenty
279-25-03 Bayonetss_cm
279-25-04 and
279-25-05 ten
279-25-06 Cartouchs_mi
279-26-01 Boxs_qtss_cm
279-26-02 out
279-26-03 of
279-26-04 those
279-26-05 Arms
279-26-06 now
279-26-07 in
279-26-08 Stores_pt
279-27-01 s_GW
279-28-01 Ns_ptBs_pt
279-28-02 The
279-28-03 Bayonets
279-28-04 must
279-28-05 be
279-28-06 delivered
279-28-07 out
279-28-08 of
279-28-09 those
279-29-01 loose
279-29-02 ones
279-29-03 in
279-29-04 the
279-29-05 Stores_qo
279-29-06 You
279-29-07 are
279-29-08 also
279-29-09 ordered
279-29-10 to
279-29-11 des_mi
279-30-01 liver
279-30-02 twenty
279-30-03 Blanketss_pt
279-32-01 Octos_pt
279-32-02 s_3s_0ths_pt
279-32-03 To
279-32-04 Sergeant
279-32-05 David
279-32-06 Wilpers_cm
279-32-07 of
279-32-08 the
279-32-09 Virginia
279-33-01 Regiments_pt
300-02-01 s_3s_0s_0s_pt
300-02-02 Letterss_cm
300-02-03 Orders
300-02-04 and
300-02-05 Instructionss_pt
300-02-06 December
300-02-07 s_1s_7s_5s_5s_pt
300-04-01 Hoggs_qts
300-04-02 Companys_cm
300-04-03 if
300-04-04 any
300-04-05 opportunity
300-04-06 offerss_pt
300-05-01 You
300-05-02 are
300-05-03 to
300-05-04 be
300-05-05 particularly
300-05-06 exs_mi
300-06-01 act
300-06-02 and
300-06-03 careful
300-06-04 in
300-06-05 these
300-06-06 paymentss_qo
300-06-07 sees_mi
300-07-01 ing
300-07-02 that
300-07-03 there
300-07-04 is
300-07-05 no
300-07-06 disagreement
300-07-07 between
300-08-01 the
300-08-02 Returnss_cm
300-08-03 and
300-08-04 your
300-08-05 Pays_miRollss_sq
300-08-06 as
300-08-07 there
300-09-01 will
300-09-02 be
300-09-03 strict
300-09-04 examination
300-09-05 into
300-09-06 it
300-09-07 hereafs_mi
300-10-01 ters_pt
300-10-02 I
300-10-03 am
300-10-04 s_etcs_pt
300-11-01 s_GW
300-12-01 Alexandrias_qo
300-12-02 December
300-12-03 s_3s_cm
300-12-04 s_1s_7s_5s_5s_pt
300-14-01 s_5ths_pt
300-14-02 To
300-14-03 the
300-14-04 Honourable
300-14-05 Robert
300-14-06 Dinwiddies_cm
300-15-01 Esquires_sq
300-15-02 Governors_pt
300-16-01 I
300-16-02 have
300-16-03 sent
300-16-04 the
300-16-05 Bearers_cm
300-16-06 Caps_mi
300-17-01 tain
300-17-02 John
300-17-03 Mercer
300-17-04 s_blwho
300-17-05 has
300-17-06 accompts
300-17-07 to
300-18-01 settle
300-18-02 with
300-18-03 the
300-18-04 Committee
300-18-05 to
300-18-06 the
300-18-07 Treasus_mi
300-19-01 rer
300-19-02 for
300-19-03 the
300-19-04 balance
300-19-05 of
300-19-06 that
300-19-07 ten
300-19-08 thousand
300-20-01 poundss_sq
300-20-02 and
300-20-03 to
300-20-04 aquaint
300-20-05 your
300-20-06 Honours_cm
300-21-01 that
300-21-02 meeting
300-21-03 with
300-21-04 Letters
300-21-05 at
300-21-06 Frederickss_mi
300-22-01 burghs_cm
300-22-02 as
300-22-03 I
300-22-04 returned
300-22-05 from
300-22-06 Williamsburghs_cm
300-23-01 informing
300-23-02 me
300-23-03 that
300-23-04 all
300-23-05 was
300-23-06 peaceable
300-24-01 aboves_cm
300-24-02 and
300-24-03 that
300-24-04 nothing
300-24-05 was
300-24-06 so
300-24-07 immes_mi
300-25-01 diately
300-25-02 wanting
300-25-03 as
300-25-04 Salts_pt
300-25-05 I
300-25-06 got
300-25-07 what
300-25-08 I
300-26-01 could
300-26-02 at
300-26-03 that
300-26-04 places_cm
300-26-05 and
300-26-06 hastened
300-26-07 on
300-27-01 here
300-27-02 to
300-27-03 engage
300-27-04 mores_sq
300-27-05 s_mi
300-27-06 to
300-27-07 receive
300-27-08 the
300-27-09 Recruits
300-28-01 that
300-28-02 were
300-28-03 expected
300-28-04 ins_sq
300-28-05 and
300-28-06 to
300-28-07 wait
300-28-08 the
300-28-09 ars_mi
300-29-01 rival
300-29-02 of
300-29-03 the
300-29-04 Ves_ssel
300-29-05 with
300-29-06 armss_cm
300-29-07 s_etcs_pt
300-29-08 from
300-29-09 James
300-30-01 Rivers_cm
300-30-02 in
300-30-03 order
300-30-04 to
300-30-05 forward
300-30-06 them
300-30-07 up
300-30-08 with
300-31-01 the
300-31-02 greater
300-31-03 dispatchs_pt
300-31-04 The
300-31-05 Ves_ssel
300-31-06 is
300-31-07 not
300-31-08 yet
300-32-01 arriveds_pt
300-32-02 s_mi
300-33-01 I
300-33-02 have
300-33-03 impatiently
300-33-04 expected
300-34-01 to
300-34-02 hear
300-34-03 the
300-34-04 result
300-34-05 of
300-34-06 you
300-34-07 Honours
300-34-08 Letter
300-35-01 to
300-35-02 General
300-35-03 Shirleys_sq
300-35-04 and
300-35-05 with
300-35-06 that
300-35-07 the
300-35-08 des_mi
301-03-01 Letters
301-03-02 Orders
301-03-03 and
301-03-04 Instructionss_pt
301-03-05 December
301-03-06 s_1s_7s_5s_5s_pt
301-05-01 lays
301-05-02 may
301-05-03 not
301-05-04 prove
301-05-05 ominouss_pt
301-05-06 In
301-05-07 that
301-05-08 cases_cm
301-05-09 I
301-06-01 shall
301-06-02 not
301-06-03 know
301-06-04 how
301-06-05 to
301-06-06 acts_sq
301-06-07 for
301-06-08 I
301-06-09 can
301-06-10 never
301-07-01 submit
301-07-02 to
301-07-03 the
301-07-04 command
301-07-05 of
301-07-06 Captain
301-07-07 Dags_mi
301-08-01 morthys_cm
301-08-02 since
301-08-03 you
301-08-04 have
301-08-05 honoured
301-08-06 me
301-08-07 with
301-09-01 the
301-09-02 Command
301-09-03 of
301-09-04 the
301-09-05 Virginia
301-09-06 Regiments_cm
301-10-01 s_etcs_pt
301-10-02 The
301-10-03 Country
301-10-04 has
301-10-05 sustained
301-10-06 inconceivable
301-11-01 los_sses
301-11-02 by
301-11-03 delaying
301-11-04 the
301-11-05 Commis_ssaries
301-11-06 at
301-11-07 Williamsburghs_qo
301-12-01 many
301-12-02 of
301-12-03 the
301-12-04 Carolina
301-12-05 Beeves
301-12-06 are
301-12-07 deads_cm
301-12-08 through
301-12-09 abs_mi
301-13-01 solute
301-13-02 povertys_sq
301-13-03 and
301-13-04 the
301-13-05 chief
301-13-06 part
301-13-07 of
301-13-08 them
301-13-09 too
301-13-10 poor
301-14-01 to
301-14-02 slaughters_pt
301-14-03 We
301-14-04 are
301-14-05 at
301-14-06 a
301-14-07 los_ss
301-14-08 how
301-14-09 to
301-14-10 acts_cm
301-14-11 for
301-14-12 want
301-15-01 of
301-15-02 the
301-15-03 mutiny
301-15-04 Bills_sq
301-15-05 and
301-15-06 should
301-15-07 be
301-15-08 obliged
301-15-09 to
301-16-01 your
301-16-02 Honour
301-16-03 to
301-16-04 have
301-16-05 fifty
301-16-06 or
301-16-07 an
301-16-08 hundred
301-16-09 printeds_cm
301-17-01 and
301-17-02 sent
301-17-03 by
301-17-04 the
301-17-05 Bearers_pt
301-17-06 There
301-17-07 is
301-17-08 a
301-17-09 clause
301-17-10 in
301-18-01 that
301-18-02 Bills_cm
301-18-03 which
301-18-04 if
301-18-05 you
301-18-06 are
301-18-07 not
301-18-08 kind
301-18-09 enough
301-19-01 to
301-19-02 obviates_cm
301-19-03 will
301-19-04 prevent
301-19-05 entirely
301-19-06 the
301-19-07 good
301-19-08 intens_mi
301-20-01 tion
301-20-02 of
301-20-03 its_qo
301-20-04 is_ptes_pt
301-20-05 delaying
301-20-06 the
301-20-07 execution
301-20-08 of
301-20-09 Sens_mi
301-21-01 tencess_cm
301-21-02 until
301-21-03 your
301-21-04 Honour
301-21-05 shall
301-21-06 be
301-21-07 made
301-21-08 acs_mi
301-22-01 quainted
301-22-02 with
301-22-03 the
301-22-04 proceedings
301-22-05 of
301-22-06 the
301-22-07 Courts_pt
301-23-01 Thiss_cm
301-23-02 at
301-23-03 times
301-23-04 when
301-23-05 there
301-23-06 is
301-23-07 the
301-23-08 greats_mi
301-24-01 est
301-24-02 occasion
301-24-03 for
301-24-04 Expampless_cm
301-24-05 will
301-24-06 be
301-24-07 morally
301-24-08 ims_mi
301-25-01 pos_ssible
301-25-02 s_blI
301-25-03 mean
301-25-04 while
301-25-05 we
301-25-06 are
301-25-07 on
301-25-08 our
301-25-09 marchs_sq
301-26-01 perhaps
301-26-02 near
301-26-03 the
301-26-04 Ohios_br
301-26-05 when
301-26-06 none
301-26-07 but
301-26-08 strong
301-26-09 pars_mi
301-27-01 ties
301-27-02 can
301-27-03 pas_ss
301-27-04 with
301-27-05 safetys_qo
301-27-06 at
301-27-07 all
301-27-08 times
301-27-09 it
301-27-10 must
301-27-11 be
301-28-01 attended
301-28-02 with
301-28-03 great
301-28-04 expences_cm
301-28-05 trouble
301-28-06 and
301-28-07 inconves_mi
301-29-01 niencys_pt
301-29-02 this
301-29-03 I
301-29-04 represented
301-29-05 to
301-29-06 Colonel
301-29-07 Corbin
301-29-08 and
301-30-01 some
301-30-02 other
301-30-03 Gentlemen
301-30-04 of
301-30-05 the
301-30-06 Councils_cm
301-30-07 when
301-30-08 I
301-31-01 was
301-31-02 downs_sq
301-31-03 who
301-31-04 said
301-31-05 that
301-31-06 that
301-31-07 objection
301-31-08 to
301-32-01 the
301-32-02 Bill
301-32-03 would
301-32-04 be
301-32-05 removeds_cm
301-32-06 by
301-32-07 your
301-32-08 Hons_mi
301-33-01 ours
301-33-02 giving
301-33-03 Blank
301-33-04 Warrantss_cm
301-33-05 to
301-33-06 be
301-33-07 filled
301-33-08 up
301-34-01 as
301-34-02 occasion
301-34-03 should
301-34-04 requires_pt
301-34-05 This
301-34-06 would
301-34-07 effecs_mi
301-35-01 tually
301-35-02 remedy
301-35-03 all
301-35-04 those
301-35-05 Evilss_cm
301-35-06 and
